,CountryName,RegionName,PrescriptionIndex,PredictedDailyNewCases,Stringency,TestName
0,Canada,,0,24614.14281937899,3.0,Fast_EC
1,Canada,,1,19550.980858058294,6.0,Fast_EC
2,Canada,,2,19105.193093334678,8.0,Fast_EC
3,Canada,,3,17999.052311425337,12.0,Fast_EC
4,Canada,,4,17300.297770319852,14.0,Fast_EC
5,Canada,,5,16860.524301570676,17.0,Fast_EC
6,Canada,,6,16546.18531850391,19.0,Fast_EC
7,Canada,,7,15993.8434674493,23.0,Fast_EC
8,Canada,,8,15729.8751393327,25.0,Fast_EC
9,Canada,,9,15319.421921042207,28.0,Fast_EC
10,United States,,0,332009.6592243468,3.0,Fast_EC
11,United States,,1,275118.90918459627,6.0,Fast_EC
12,United States,,2,269985.179696863,8.0,Fast_EC
13,United States,,3,257141.62624688982,12.0,Fast_EC
14,United States,,4,248949.73123289147,14.0,Fast_EC
15,United States,,5,243762.74223681045,17.0,Fast_EC
16,United States,,6,240039.33420313877,19.0,Fast_EC
17,United States,,7,233464.06800166224,23.0,Fast_EC
18,United States,,8,230307.13437355513,25.0,Fast_EC
19,United States,,9,225378.40870410236,28.0,Fast_EC
20,United States,Texas,0,30586.368622057566,3.0,Fast_EC
21,United States,Texas,1,25315.660636991444,6.0,Fast_EC
22,United States,Texas,2,24839.349071872573,8.0,Fast_EC
23,United States,Texas,3,23647.348325142153,12.0,Fast_EC
24,United States,Texas,4,22886.86578944413,14.0,Fast_EC
25,United States,Texas,5,22405.27769341588,17.0,Fast_EC
26,United States,Texas,6,22059.53417763673,19.0,Fast_EC
27,United States,Texas,7,21448.811365246696,23.0,Fast_EC
28,United States,Texas,8,21155.572808396577,25.0,Fast_EC
29,United States,Texas,9,20697.686160587367,28.0,Fast_EC
0,Canada,,0,27485.33012480131,0.8345556084385847,Fast_RC
1,Canada,,1,25461.1841711086,1.5869586033355387,Fast_RC
2,Canada,,2,21435.306397706743,3.024210211968366,Fast_RC
3,Canada,,3,20825.87686983879,4.171384359193739,Fast_RC
4,Canada,,4,19557.5988379017,6.292577552694743,Fast_RC
5,Canada,,5,19269.845549779795,7.899856797740255,Fast_RC
6,Canada,,6,18536.264084994065,11.374834400183017,Fast_RC
7,Canada,,7,18317.68276302537,13.397149319584917,Fast_RC
8,Canada,,8,15595.794669906623,17.424934696373054,Fast_RC
9,Canada,,9,15378.71459504024,20.460678303198662,Fast_RC
10,United States,,0,381559.41283598304,0.18530264425910922,Fast_RC
11,United States,,1,356254.92936067795,0.6052884201370456,Fast_RC
12,United States,,2,327951.1590541168,1.7121838713209223,Fast_RC
13,United States,,3,320093.85872552556,2.283636796133239,Fast_RC
14,United States,,4,282668.75351970433,3.4527653596859262,Fast_RC
15,United States,,5,279130.1694341008,4.425068910990167,Fast_RC
16,United States,,6,241212.8115845759,7.136665700036927,Fast_RC
17,United States,,7,237063.90554943224,13.622252377345648,Fast_RC
18,United States,,8,232520.08787214605,16.928240689176604,Fast_RC
19,United States,,9,227900.2725679641,23.628283575530876,Fast_RC
20,United States,Texas,0,34068.96008945296,0.04507455843182063,Fast_RC
21,United States,Texas,1,31535.576919086227,0.7298181330925739,Fast_RC
22,United States,Texas,2,29943.496118700485,1.1950499575599909,Fast_RC
23,United States,Texas,3,28292.255701612383,2.133574110057182,Fast_RC
24,United States,Texas,4,26858.005197310304,3.7807868471237045,Fast_RC
25,United States,Texas,5,26359.817570307063,6.139392598753205,Fast_RC
26,United States,Texas,6,26048.195654269864,8.258653564208883,Fast_RC
27,United States,Texas,7,25570.57987577563,12.898601756771944,Fast_RC
28,United States,Texas,8,25235.034717245526,16.345017843283145,Fast_RC
29,United States,Texas,9,25035.804283052556,20.11096101232006,Fast_RC
