,CountryName,RegionName,PrescriptionIndex,PredictedDailyNewCases,Stringency,TestName
0,Afghanistan,,0,168.99135882380438,0.52,Default
1,Afghanistan,,1,167.32310319038464,2.04,Default
2,Afghanistan,,2,166.0876738677391,3.14,Default
3,Afghanistan,,3,164.86294215668556,4.48,Default
4,Afghanistan,,4,159.67311576500634,6.969999999999999,Default
5,Afghanistan,,5,158.51654197685872,9.01,Default
6,Afghanistan,,6,157.42647744680883,11.329999999999998,Default
7,Afghanistan,,7,156.07321708827521,15.079999999999998,Default
8,Afghanistan,,8,155.58880614854087,19.369999999999997,Default
9,Afghanistan,,9,155.3087266434397,22.249999999999996,Default
10,Albania,,0,173.03284208164618,0.2,Default
11,Albania,,1,170.15506833456612,0.4,Default
12,Albania,,2,167.04135180119553,0.8,Default
13,Albania,,3,161.99180886414885,1.2200000000000002,Default
14,Albania,,4,161.33881010694006,2.2,Default
15,Albania,,5,155.6388460244118,6.520000000000001,Default
16,Albania,,6,154.8711847050348,10.840000000000002,Default
17,Albania,,7,154.31490586713736,13.720000000000002,Default
18,Albania,,8,153.73387542528923,16.92,Default
19,Albania,,9,152.8349612057167,21.78,Default
20,Algeria,,0,844.0399421417009,0.18,Default
21,Algeria,,1,805.8901110330867,0.5700000000000001,Default
22,Algeria,,2,793.5200051309971,1.35,Default
23,Algeria,,3,790.7388700027171,2.45,Default
24,Algeria,,4,786.9550527172997,3.65,Default
25,Algeria,,5,780.3658413893943,7.130000000000001,Default
26,Algeria,,6,774.9008838304491,11.209999999999999,Default
27,Algeria,,7,771.8712717690187,16.45,Default
28,Algeria,,8,769.1268720249625,19.29,Default
29,Algeria,,9,766.8713547471452,24.990000000000002,Default
30,Andorra,,0,9.09591983231727,0.8800000000000001,Default
31,Andorra,,1,8.973832824189085,1.32,Default
32,Andorra,,2,8.699724732592008,2.31,Default
33,Andorra,,3,8.632171835992827,3.1100000000000003,Default
34,Andorra,,4,8.589003768259477,5.510000000000001,Default
35,Andorra,,5,8.556456091339136,7.43,Default
36,Andorra,,6,8.514703565386279,12.830000000000002,Default
37,Andorra,,7,8.493658335019312,15.73,Default
38,Andorra,,8,8.471785225864437,18.770000000000003,Default
39,Andorra,,9,8.421500274595498,24.97,Default
40,Angola,,0,64.37588351000505,0.68,Default
41,Angola,,1,61.44386819540082,2.21,Default
42,Angola,,2,60.60244928598488,4.41,Default
43,Angola,,3,60.199863306153716,6.12,Default
44,Angola,,4,59.94621063239267,7.639999999999999,Default
45,Angola,,5,59.476819838774624,9.42,Default
46,Angola,,6,58.891698249343186,12.39,Default
47,Angola,,7,57.636012596533305,15.420000000000002,Default
48,Angola,,8,57.354506383476085,21.42,Default
49,Angola,,9,57.20053611769772,24.5,Default
50,Argentina,,0,8891.302022063883,0.32,Default
51,Argentina,,1,8832.07228832849,1.28,Default
52,Argentina,,2,8758.977257238996,2.48,Default
53,Argentina,,3,8616.937933776917,5.16,Default
54,Argentina,,4,8564.159657422522,6.5200000000000005,Default
55,Argentina,,5,8503.985563902706,8.950000000000001,Default
56,Argentina,,6,8400.481179815426,11.77,Default
57,Argentina,,7,8351.83506704063,13.789999999999997,Default
58,Argentina,,8,8315.833906908312,19.75,Default
59,Argentina,,9,8136.550099255241,24.7,Default
60,Aruba,,0,0.5921950015052462,0.16,Default
61,Aruba,,1,0.5738165935181089,0.85,Default
62,Aruba,,2,0.5491850384043306,2.11,Default
63,Aruba,,3,0.5416588882816422,5.11,Default
64,Aruba,,4,0.5347247002183495,8.31,Default
65,Aruba,,5,0.5096914856436664,10.950000000000001,Default
66,Aruba,,6,0.507203920429018,13.09,Default
67,Aruba,,7,0.5042414033892525,15.669999999999998,Default
68,Aruba,,8,0.5028943505147463,18.330000000000002,Default
69,Aruba,,9,0.5006034637303552,24.490000000000002,Default
70,Australia,,0,651.1127685847001,0.12,Default
